Date,Close,IHSG Close(D-1),Close(D-1),Close(D-2),Close(D-3),Close(D-4),Close(D-5),Close(D-6),Close(D-7)
2023-06-08,222,6844.936035,214,220,220,230,224,218,220
2023-06-07,218,6857.415039,222,214,220,220,230,224,218
2023-06-06,220,6813.63623,218,222,214,220,220,230,224
2023-06-05,216,6807.000977,220,218,222,214,220,220,230
2023-05-31,216,6766.757813,216,220,218,222,214,220,220
2023-05-30,204,6776.370117,216,216,220,218,222,214,220
2023-05-29,204,6799.794922,204,216,216,220,218,222,214
2023-05-26,208,6765.301758,204,204,216,216,220,218,222
2023-05-25,210,6786.955078,208,204,204,216,216,220,218
2023-05-24,224,6641.813965,210,208,204,204,216,216,220
2023-05-23,214,6628.137207,224,210,208,204,204,216,216
2023-05-22,208,6565.728027,214,224,210,208,204,204,216
2023-05-19,204,6678.236816,208,214,224,210,208,204,204
2023-05-17,214,6612.490234,204,208,214,224,210,208,204
2023-05-16,216,6691.61084,214,204,208,214,224,210,208
2023-05-15,218,6762.253906,216,214,204,208,214,224,210
2023-05-12,222,6708.933105,218,216,214,204,208,214,224
2023-05-11,226,6760.328125,222,218,216,214,204,208,214
2023-05-10,234,6839.436035,226,222,218,216,214,204,208
2023-05-09,232,6808.951172,234,226,222,218,216,214,204
2023-05-08,232,6805.276855,232,234,226,222,218,216,214
2023-05-05,240,6827.174805,232,232,234,226,222,218,216
2023-05-04,216,6833.178223,240,232,232,234,226,222,218
2023-05-03,222,6819.674805,216,240,232,232,234,226,222
2023-05-02,226,6792.765137,222,216,240,232,232,234,226
2023-04-28,222,6771.234863,226,222,216,240,232,232,234
2023-04-27,226,6811.313965,222,226,222,216,240,232,232
2023-04-26,236,6798.963867,226,222,226,222,216,240,232
2023-04-18,230,6785.598145,236,226,222,226,222,216,240
2023-04-17,240,6818.574219,230,236,226,222,226,222,216
2023-04-14,236,6787.582031,240,230,236,226,222,226,222
2023-04-13,240,6821.807129,236,240,230,236,226,222,226
2023-04-12,234,6910.146973,240,236,240,230,236,226,222
2023-04-11,238,6945.477051,234,240,236,240,230,236,226
2023-04-10,234,6915.71582,238,234,240,236,240,230,236
2023-04-06,240,6863.301758,234,238,234,240,236,240,230
2023-04-05,242,6812.722168,240,234,238,234,240,236,240
2023-04-04,244,6844.026855,242,240,234,238,234,240,236
2023-04-03,230,6787.630859,244,242,240,234,238,234,240
2023-03-31,224,6769.630859,230,244,242,240,234,238,234
2023-03-30,238,6779.97998,224,230,244,242,240,234,238
2023-03-29,238,6811.904785,238,224,230,244,242,240,234
2023-03-28,234,6755.937988,238,238,224,230,244,242,240
2023-03-27,238,6707.763184,234,238,238,224,230,244,242
2023-03-24,224,6711.740234,238,234,238,238,224,230,244
2023-03-21,212,6676.563965,224,238,234,238,238,224,230
2023-03-20,210,6663.11377,212,224,238,234,238,238,224
2023-03-17,214,6700.561035,210,212,224,238,234,238,238
2023-03-16,214,6729.646973,214,210,212,224,238,234,238
2023-03-15,228,6736.684082,214,214,210,212,224,238,234
2023-03-14,228,6745.804199,228,214,214,210,212,224,238
2023-03-13,238,6704.230957,228,228,214,214,210,212,224
2023-03-10,238,6687.000977,238,228,228,214,214,210,212
2023-03-09,238,6681.102051,238,238,228,228,214,214,210
2023-03-08,240,6636.422852,238,238,238,228,228,214,214
2023-03-07,246,6633.26123,240,238,238,238,228,228,214
2023-03-06,246,6633.437012,246,240,238,238,238,228,228
2023-03-03,254,6618.922852,246,246,240,238,238,238,228
2023-03-02,250,6619.754883,254,246,246,240,238,238,238
2023-03-01,256,6666.330078,250,254,246,246,240,238,238
2023-02-28,272,6694.023926,256,250,254,246,246,240,238
2023-02-27,274,6722.373047,272,256,250,254,246,246,240
2023-02-24,276,6719.01416,274,272,256,250,254,246,246
2023-02-23,276,6699.716797,276,274,272,256,250,254,246
2023-02-22,280,6713.794922,276,276,274,272,256,250,254
2023-02-21,280,6698.546875,280,276,276,274,272,256,250
2023-02-20,288,6686.059082,280,280,276,276,274,272,256
2023-02-17,300,6660.455078,288,280,280,276,276,274,272
2023-02-16,296,6702.625,300,288,280,280,276,276,274
2023-02-15,302,6652.26123,296,300,288,280,280,276,276
2023-02-14,302,6639.73291,302,296,300,288,280,280,276
2023-02-13,278,6664.667969,302,302,296,300,288,280,280
2023-02-10,270,6661.878906,278,302,302,296,300,288,280
2023-02-09,254,6696.71582,270,278,302,302,296,300,288
2023-02-08,252,6681.753906,254,270,278,302,302,296,300
2023-02-07,248,6718.977051,252,254,270,278,302,302,296
2023-02-06,252,6757.331055,248,252,254,270,278,302,302
2023-02-03,264,6716.458984,252,248,252,254,270,278,302
2023-02-02,252,6731.038086,264,252,248,252,254,270,278
2023-02-01,240,6796.923828,252,264,252,248,252,254,270
2023-01-31,256,6808.208984,240,252,264,252,248,252,254
2023-01-30,248,6810.212891,256,240,252,264,252,248,252
2023-01-27,254,6869.571777,248,256,240,252,264,252,248
2023-01-26,262,6867.144043,254,248,256,240,252,264,252
2023-01-25,278,6830.203125,262,254,248,256,240,252,264
2023-01-24,290,6864.188965,278,262,254,248,256,240,252
2023-01-20,288,6880.801758,290,278,262,254,248,256,240
2023-01-19,288,6899.395996,288,290,278,262,254,248,256
2023-01-18,278,6917.710938,288,288,290,278,262,254,248
2023-01-17,278,6948.278809,278,288,288,290,278,262,254
2023-01-16,272,6896.663086,278,278,288,288,290,278,262
2023-01-13,268,6900.22998,272,278,278,288,288,290,278
2023-01-12,264,6931.358887,268,272,278,278,288,288,290
2023-01-11,268,6886.496094,264,268,272,278,278,288,288
2023-01-10,274,6854.509766,268,264,268,272,278,278,288
